region,municipality,students,year,metadata,city
მცხეთა–მთიანეთი,დუშეთი,4245,2008,,მაღალმთიანი
მცხეთა–მთიანეთი,თიანეთი,1591,2008,,პატარა ქალაქები
მცხეთა–მთიანეთი,მცხეთა,8845,2008,,მუნიციპალიტეტები
მცხეთა–მთიანეთი,ყაზბეგი,727,2008,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,1510,2008,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ლენტეხი,1023,2008,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ონი,865,2008,,მაღალმთიანი
რაჭა-ლეჩხუმი და ქვემო სვანეთი,ცაგერი,1612,2008,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,ფოთი,6867,2008,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,აბაშა,3857,2008,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,ზუგდიდი,17618,2008,,დიდი ქალაქები
სამეგრელო–ზემო სვანეთი,მარტვილი,5850,2008,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,მესტია,2078,2008,,მაღალმთიანი
სამეგრელო–ზემო სვანეთი,სენაკი,6584,2008,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ჩხოროწყუ,3569,2008,,პატარა ქალაქები
სამეგრელო–ზემო სვანეთი,წალენჯიხა,4838,2008,,მუნიციპალიტეტები
სამეგრელო–ზემო სვანეთი,ხობი,4925,2008,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ადიგენი,3173,2008,,პატარა ქალაქები
სამცხე–ჯავახეთი,ასპინძა,2053,2008,,პატარა ქალაქები
სამცხე–ჯავახეთი,ახალქალაქი,8370,2008,,მაღალმთიანი
სამცხე–ჯავახეთი,ახალციხე,7344,2008,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ბორჯომი,4616,2008,,მუნიციპალიტეტები
სამცხე–ჯავახეთი,ნინოწმინდა,4249,2008,,მაღალმთიანი
ქვემო ქართლი,რუსთავი,21373,2008,,დიდი ქალაქები
ქვემო ქართლი,ბოლნისი,8485,2008,,მუნიციპალიტეტები
ქვემო ქართლი,გარდაბნი,15628,2008,,დიდი ქალაქები
ქვემო ქართლი,დმანისი,3609,2008,,პატარა ქალაქები
ქვემო ქართლი,თეთრი წყარო,3344,2008,,პატარა ქალაქები
ქვემო ქართლი,მარნეული,18110,2008,,დიდი ქალაქები
ქვემო ქართლი,წალკა,4014,2008,,პატარა ქალაქები
შიდა ქართლი,გორი,21825,2008,,დიდი ქალაქები
შიდა ქართლი,კასპი,7084,2008,,მუნიციპალიტეტები
შიდა ქართლი,ქარელი,7425,2008,,მუნიციპალიტეტები
შიდა ქართლი,ხაშური,11064,2008,,10 ქალაქები
შიდა ქართლი,ერედვი,,2008,,პატარა ქალაქები
შიდა ქართლი,თიღვა,,2008,,პატარა ქალაქები
შიდა ქართლი,ქურთა,,2008,,პატარა ქალაქები
თბილისი,თბილისი,173942,2009,,დედაქალაქი
აფხაზეთის არ,აფხაზეთი,2894,2009,,აფხაზეთი
აჭარის არ,ბათუმი,23186,2009,,დიდი ქალაქები
აჭარის არ,ქედა,3141,2009,,მაღალმთიანი
აჭარის არ,ქობულეთი,13340,2009,,10 ქალაქები
აჭარის არ,შუახევი,3469,2009,,მაღალმთიანი
აჭარის არ,ხელვაჩაური,13456,2009,,10 ქალაქები
აჭარის არ,ხულო,5708,2009,,მაღალმთიანი
გურია,ლანჩხუთი,4784,2009,,მუნიციპალიტეტები
გურია,ოზურგეთი,10780,2009,,10 ქალაქები
გურია,ჩოხატაური,3227,2009,,პატარა ქალაქები
იმერეთი,ქუთაისი,28843,2009,,დიდი ქალაქები
იმერეთი,ტყიბული,2978,2009,,პატარა ქალაქები
იმერეთი,წყალტუბო,7668,2009,,მუნიციპალიტეტები
იმერეთი,ჭიათური,6838,2009,,მუნიციპალიტეტები
იმერეთი,ბაღდათი,3345,2009,,პატარა ქალაქები
იმერეთი,ვანი,3845,2009,,პატარა ქალაქები
იმერეთი,ზესტაფონი,10430,2009,,10 ქალაქები
იმერეთი,თერჯოლა,5126,2009,,მუნიციპალიტეტები
იმერეთი,სამტრედია,8032,2009,,მუნიციპალიტეტები
იმერეთი,საჩხერე,6321,2009,,მუნიციპალიტეტები
იმერეთი,ხარაგაული,3017,2009,,პატარა ქალაქები
იმერეთი,ხონი,3788,2009,,პატარა ქალაქები
კახეთი,ახმეტა,6161,2009,,მუნიციპალიტეტები
